Timestamp	1. Bạn đang là sinh viên năm mấy?	2. Bạn đã từng học các môn có hoạt động thực hành trên máy tính hoặc lập trình chưa?	3. Trong lớp thực hành, bạn thường sử dụng công cụ nào để nhận bài và nộp bài?	4. Trong giờ thực hành, bạn gặp khó khăn hoặc bị “kẹt” khi làm bài với tần suất như thế nào?	5. Khi gặp khó khăn, bạn thường làm gì?	6. Điều gì khiến bạn không chủ động hỏi giảng viên khi gặp khó khăn?	7. Khi bạn gặp khó khăn trong giờ thực hành, thông thường mất bao lâu để nhận được hỗ trợ phù hợp?	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Giảng viên khó biết sinh viên nào đang gặp khó khăn trong lớp đông.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Tôi từng bị chậm tiến độ vì không được hỗ trợ kịp thời.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Có những phần tôi chưa hiểu nhưng giảng viên vẫn tiếp tục bài học.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Tôi chỉ biết mình làm sai khi nhận kết quả hoặc được chấm bài.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Tôi muốn được nhận gợi ý khi mắc lỗi nhiều lần.]	9. Hãy tưởng tượng LMS có thể tự động phân tích tiến độ học tập và phát hiện khi nhiều sinh viên đang gặp cùng một vấn đề. Bạn đánh giá tính năng này hữu ích ở mức nào?	10. Bạn mong muốn sử dụng những tính năng nào sau đây?	11. Trong số các tính năng trên, tính năng nào quan trọng nhất với bạn?	12. Bạn muốn AI hỗ trợ đến mức nào?	13. Bạn có lo ngại điều gì khi AI phân tích hoạt động học tập trên LMS?	14. Nếu hệ thống này được triển khai thử nghiệm, bạn có sẵn sàng sử dụng không?	15. Theo bạn, hệ thống cần làm gì để hỗ trợ sinh viên tốt hơn trong giờ thực hành?
7/30/2026 15:45:16	Năm 4	Đã học 1–2 môn	Hệ thống LMS của trường	5	Bỏ qua và chuyển sang phần khác, Không làm tiếp	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản	Thường không nhận được hỗ trợ	Hoàn toàn không đồng ý	Trung lập	Đồng ý	Đồng ý	Hoàn toàn đồng ý	3	Badge, huy hiệu hoặc điểm thưởng khi hoàn thành nhiệm vụ	AI chấm sơ bộ và giảng viên duyệt kết quả	AI tự động hướng dẫn từng bước để hoàn thành bài	Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực	Chưa chắc chắn	
7/30/2026 15:48:18	Năm 5 trở lên	Chưa từng học	Telegram	1	Hỏi claude	Muốn tự giải quyết trước	Thường không nhận được hỗ trợ	Không đồng ý	Trung lập	Không đồng ý	Trung lập	Trung lập	4	Nhận gợi ý khi mắc cùng một lỗi nhiều lần	Quiz hoặc poll kiểm tra nhanh	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực	Chưa chắc chắn	không
7/30/2026 15:53:11	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường, GitHub hoặc GitLab, Zalo, Messenger hoặc Discord	4	Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản, Không biết mô tả lỗi như thế nào	Dưới 5 phút	Đồng ý	Trung lập	Hoàn toàn đồng ý	Trung lập	Đồng ý	4	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên, Badge, huy hiệu hoặc điểm thưởng khi hoàn thành nhiệm vụ, Bảng xếp hạng trong lớp	Badge, điểm thưởng và gamification	AI chỉ phân tích và thông báo cho giảng viên	AI đánh giá sai mức độ hiểu bài, AI đưa ra gợi ý hoặc đáp án không chính xác	Có thể có	
7/30/2026 15:55:43	Năm 5 trở lên	Đã học nhiều môn	Google Classroom, GitHub hoặc GitLab, Zalo, Messenger hoặc Discord, Nộp trực tiếp cho giảng viên	4	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản, Giảng viên đang bận hỗ trợ sinh viên khác, Không biết mô tả lỗi như thế nào, Lớp đông nên khó nhận được hỗ trợ, Muốn tự giải quyết trước	Trên 20 phút	Đồng ý	Trung lập	Trung lập	Trung lập	Trung lập	4	Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên	Gợi ý cá nhân khi gặp lỗi	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	AI đưa ra gợi ý hoặc đáp án không chính xác	Chắc chắn có	
7/30/2026 15:56:01	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường	5	Sử dụng ChatGPT hoặc công cụ AI khác	Không biết mô tả lỗi như thế nào	Từ 5–10 phút	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	4	Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên	AI chấm sơ bộ và giảng viên duyệt kết quả	AI tự động hướng dẫn từng bước để hoàn thành bài	AI đưa ra gợi ý hoặc đáp án không chính xác	Chưa chắc chắn	dẹt sơ
7/30/2026 15:57:38	Năm 4	Đã học nhiều môn	Microsoft Teams, GitHub hoặc GitLab	3	Sử dụng ChatGPT hoặc công cụ AI khác	Lớp đông nên khó nhận được hỗ trợ, Muốn tự giải quyết trước	Dưới 5 phút	Trung lập	Trung lập	Trung lập	Trung lập	Trung lập	3	AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn	AI chấm sơ bộ và giảng viên duyệt kết quả	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	AI đưa ra gợi ý hoặc đáp án không chính xác	Có thể có	
7/30/2026 15:59:03	Năm 3	Đã học nhiều môn	Hệ thống LMS của trường, Microsoft Teams, GitHub hoặc GitLab	3	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Lớp đông nên khó nhận được hỗ trợ	Thường không nhận được hỗ trợ	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	5	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên, Hiển thị tiến độ hoàn thành bài tập, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn, Badge, huy hiệu hoặc điểm thưởng khi hoàn thành nhiệm vụ, Bảng xếp hạng trong lớp	Giảng viên được cảnh báo khi cả lớp gặp khó khăn	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	Quyền riêng tư và dữ liệu cá nhân, Phụ thuộc quá nhiều vào AI	Có thể có	
7/30/2026 16:07:05	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường, Google Classroom, Microsoft Teams, GitHub hoặc GitLab, Email, Zalo, Messenger hoặc Discord, Nộp trực tiếp cho giảng viên	5	Hỏi trực tiếp giảng viên hoặc trợ giảng, Tự tìm kiếm trên Google	Sợ câu hỏi của mình quá đơn giản, Không biết mô tả lỗi như thế nào, Lớp đông nên khó nhận được hỗ trợ	Trên 20 phút	Đồng ý	Đồng ý	Đồng ý	Đồng ý	Đồng ý	5	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn	AI chấm sơ bộ và giảng viên duyệt kết quả	Tôi không muốn AI can thiệp vào quá trình học	Quyền riêng tư và dữ liệu cá nhân	Chắc chắn có	
7/30/2026 16:07:59	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường, GitHub hoặc GitLab, Zalo, Messenger hoặc Discord	3	Hỏi trực tiếp giảng viên hoặc trợ giảng, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản	Từ 5–10 phút	Đồng ý	Đồng ý	Đồng ý	Đồng ý	Đồng ý	4	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz tự động thay đổi theo kết quả học tập của sinh viên	AI chấm sơ bộ và giảng viên duyệt kết quả	AI chỉ phân tích và thông báo cho giảng viên	AI đánh giá sai mức độ hiểu bài	Chưa chắc chắn	
7/30/2026 16:10:12	Năm 4	Đã học 1–2 môn	Hệ thống LMS của trường, GitHub hoặc GitLab, Zalo, Messenger hoặc Discord	5	Sử dụng ChatGPT hoặc công cụ AI khác, Bỏ qua và chuyển sang phần khác	Sợ câu hỏi của mình quá đơn giản, Không biết mô tả lỗi như thế nào, Lớp đông nên khó nhận được hỗ trợ	Trên 20 phút	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	5	Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên	Theo dõi tiến độ và cảnh báo nguy cơ chậm bài	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	AI đánh giá sai mức độ hiểu bài, Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực, Badge hoặc bảng xếp hạng tạo sự cạnh tranh không cần thiết	Có thể có	
